epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,138.58,1.21686,2.43107,2.95756,0.00375,4.55534,0.77259,0.13815,0.12546,0.08541,0.77496,0.13935,0.11882,0.0762,1.23878,2.49825,2.3536,0.00503,0,0.000253047,0.000253047,0.000253047
2,233.99,1.21985,2.16097,1.84269,0.00369,3.19044,0.36276,0.25336,0.23989,0.14882,0.34789,0.24679,0.22686,0.13238,1.26307,2.20356,1.80478,0.00504,0,0.000504337,0.000504337,0.000504337
3,339.642,1.24131,2.11944,1.66389,0.00363,1.99022,0.50595,0.23206,0.23948,0.15488,0.52069,0.21954,0.22681,0.13861,1.29312,2.23975,1.76229,0.00535,0,0.000750553,0.000750553,0.000750553
4,444.073,1.23908,2.11916,1.57978,0.00367,1.68567,0.5881,0.343,0.25237,0.15391,0.56981,0.33168,0.24377,0.13323,1.23094,2.14099,1.73967,0.00507,0,0.000746161,0.000746161,0.000746161
5,549.137,1.22831,2.02483,1.48635,0.00363,1.32949,0.51633,0.29728,0.26141,0.16261,0.50735,0.29243,0.25352,0.14431,1.19563,2.10409,1.61147,0.0049,0,0.000738548,0.000738548,0.000738548
6,650.6,1.18363,1.95177,1.45075,0.00354,1.24324,0.66665,0.3009,0.29514,0.18408,0.65558,0.28351,0.2832,0.16719,1.17427,2.13684,1.56932,0.00481,0,0.000730935,0.000730935,0.000730935
7,751.473,1.19855,1.91627,1.41118,0.00365,1.18717,0.66084,0.31109,0.30713,0.20237,0.6726,0.31587,0.3175,0.18207,1.2082,2.1387,1.49294,0.00496,0,0.000723321,0.000723321,0.000723321
8,855.463,1.1932,1.95851,1.39564,0.0036,1.21895,0.59225,0.36861,0.32115,0.20204,0.59921,0.34434,0.3078,0.17841,1.15759,2.06952,1.44714,0.00463,0,0.000715708,0.000715708,0.000715708
9,957.362,1.15197,1.88089,1.34901,0.00345,1.14043,0.61981,0.334,0.32304,0.20301,0.6139,0.32753,0.31396,0.17465,1.14239,2.04551,1.41497,0.00454,0,0.000708095,0.000708095,0.000708095
10,1060.61,1.15614,1.88329,1.34418,0.00325,1.21399,0.5663,0.31103,0.31577,0.20325,0.59748,0.30151,0.31439,0.18004,1.13328,2.04023,1.48835,0.00456,0,0.000700482,0.000700482,0.000700482
11,1163.71,1.19536,1.94711,1.39159,0.00351,1.23188,0.5315,0.34696,0.31255,0.19529,0.63769,0.31578,0.29822,0.16994,1.116,2.01657,1.49267,0.00448,0,0.000692869,0.000692869,0.000692869
12,1265.18,1.1642,1.8233,1.32505,0.00341,1.15547,0.55806,0.34611,0.35473,0.2223,0.54031,0.33525,0.34084,0.18695,1.15177,2.00137,1.35305,0.00459,0,0.000685256,0.000685256,0.000685256
13,1367.62,1.17564,1.83483,1.31697,0.00336,1.09569,0.60695,0.35298,0.33701,0.21515,0.60105,0.32011,0.32574,0.1958,1.11715,2.00045,1.37407,0.00453,0,0.000677643,0.000677643,0.000677643
14,1470.75,1.13971,1.82499,1.28365,0.00325,1.17264,0.46162,0.35378,0.31576,0.20453,0.46305,0.34634,0.30495,0.16962,1.09914,2.06172,1.48918,0.00437,0,0.00067003,0.00067003,0.00067003
15,1575.09,1.17031,1.86489,1.32049,0.00327,1.15504,0.52635,0.32094,0.31428,0.20815,0.62675,0.31561,0.31267,0.18339,1.1188,2.00286,1.44303,0.00439,0,0.000662417,0.000662417,0.000662417
16,1677.69,1.1225,1.80693,1.27895,0.00327,1.11704,0.43302,0.34945,0.35661,0.22769,0.53449,0.33698,0.34146,0.20057,1.13691,1.90176,1.37492,0.0045,0,0.000654804,0.000654804,0.000654804
17,1779.99,1.13756,1.80024,1.24467,0.00328,1.05161,0.47519,0.33777,0.3718,0.23277,0.46331,0.31915,0.35003,0.20814,1.13136,1.94662,1.3092,0.0045,0,0.00064719,0.00064719,0.00064719
18,1884.02,1.14077,1.85262,1.2503,0.00325,1.12059,0.56687,0.34162,0.3126,0.20194,0.57406,0.34966,0.29813,0.17309,1.10182,2.0235,1.35981,0.00434,0,0.000639577,0.000639577,0.000639577
19,1985.29,1.0992,1.70736,1.20798,0.00314,1.03507,0.44034,0.31993,0.3313,0.20687,0.43591,0.31372,0.31478,0.17859,1.13314,1.96913,1.3362,0.00467,0,0.000631964,0.000631964,0.000631964
20,2088.43,1.0942,1.73592,1.21269,0.00314,1.03695,0.56141,0.38605,0.36738,0.23968,0.56445,0.38817,0.36246,0.20509,1.10423,1.98776,1.36731,0.00441,0,0.000624351,0.000624351,0.000624351
21,2194.21,1.10749,1.7466,1.20669,0.00318,1.07677,0.65952,0.32706,0.3822,0.24674,0.47371,0.35294,0.37006,0.22065,1.12327,1.97409,1.27148,0.0045,0,0.000616738,0.000616738,0.000616738
22,2298.36,1.10015,1.69952,1.17936,0.00312,0.99962,0.58779,0.36887,0.37398,0.24484,0.71035,0.32275,0.36305,0.2159,1.07999,1.9468,1.31064,0.00429,0,0.000609125,0.000609125,0.000609125
23,2400.46,1.1149,1.76762,1.20529,0.00313,1.03895,0.75008,0.32969,0.37548,0.24106,0.76222,0.3319,0.36236,0.21418,1.102,1.98858,1.27828,0.00441,0,0.000601512,0.000601512,0.000601512
24,2503.6,1.09664,1.71373,1.16944,0.00319,1.01796,0.58498,0.34633,0.37228,0.23055,0.57778,0.33462,0.35494,0.20781,1.13196,1.96545,1.34268,0.00461,0,0.000593899,0.000593899,0.000593899
25,2602.81,1.10457,1.74011,1.16605,0.00308,1.0016,0.65601,0.34524,0.37432,0.24902,0.71221,0.3331,0.36188,0.21664,1.0881,1.97335,1.38048,0.00433,0,0.000586286,0.000586286,0.000586286
26,2705.32,1.08568,1.67664,1.11905,0.00308,0.95787,0.63463,0.33754,0.37514,0.23885,0.58671,0.34991,0.35507,0.21342,1.09707,1.94818,1.27354,0.00441,0,0.000578672,0.000578672,0.000578672
27,2806.63,1.0805,1.68673,1.13541,0.00308,0.99395,0.59454,0.33358,0.36645,0.23663,0.57186,0.33147,0.35222,0.20771,1.10361,1.90007,1.29312,0.0044,0,0.000571059,0.000571059,0.000571059
28,2908.02,1.0896,1.68252,1.1123,0.0031,0.97838,0.62186,0.32349,0.3544,0.21976,0.61615,0.31275,0.3353,0.202,1.11168,1.96661,1.34012,0.00438,0,0.000563446,0.000563446,0.000563446
29,3009.13,1.08926,1.64351,1.11202,0.00307,0.98239,0.68739,0.3521,0.36501,0.23802,0.65713,0.34301,0.34044,0.21233,1.09886,1.8988,1.24158,0.00439,0,0.000555833,0.000555833,0.000555833
30,3110.94,1.11347,1.73612,1.11703,0.00314,0.95346,0.48533,0.34869,0.35651,0.23637,0.50651,0.34455,0.34589,0.21021,1.11187,1.97266,1.28448,0.00441,0,0.00054822,0.00054822,0.00054822
31,3214.41,1.05538,1.60093,1.09636,0.00294,0.96677,0.69305,0.39131,0.38474,0.25474,0.68053,0.38207,0.37407,0.22893,1.0868,1.87946,1.23974,0.00432,0,0.000540607,0.000540607,0.000540607
32,3320.11,1.06856,1.63477,1.06988,0.00298,0.9405,0.60278,0.38094,0.39572,0.24952,0.61551,0.371,0.37823,0.22259,1.11346,1.92262,1.24873,0.00437,0,0.000532994,0.000532994,0.000532994
33,3424.17,1.10443,1.66607,1.10181,0.00307,0.96772,0.59811,0.32902,0.3666,0.23353,0.57234,0.32353,0.34394,0.20756,1.12568,2.00888,1.30557,0.00446,0,0.000525381,0.000525381,0.000525381
34,3526.32,1.08997,1.67713,1.0962,0.00304,0.95629,0.59654,0.37466,0.39565,0.25434,0.62004,0.3479,0.373,0.22197,1.06262,1.98452,1.25501,0.00422,0,0.000517768,0.000517768,0.000517768
35,3629.4,1.06727,1.65741,1.0509,0.00302,0.96771,0.60529,0.38516,0.40059,0.25097,0.64273,0.35387,0.3804,0.22479,1.08105,1.88583,1.29249,0.00426,0,0.000510155,0.000510155,0.000510155
36,3733.02,1.08222,1.63523,1.07671,0.00308,0.93089,0.37124,0.39271,0.37506,0.24339,0.38638,0.36025,0.35508,0.2159,1.08931,1.93254,1.31223,0.00429,0,0.000502541,0.000502541,0.000502541
37,3834.63,1.04716,1.56993,1.04417,0.003,0.88373,0.60194,0.37244,0.39274,0.25111,0.6307,0.34636,0.3767,0.2196,1.08529,1.9133,1.26036,0.00424,0,0.000494928,0.000494928,0.000494928
38,3938.34,1.07358,1.63947,1.07731,0.00297,0.9257,0.38715,0.44008,0.41443,0.26626,0.39577,0.42435,0.39598,0.23482,1.05895,1.90036,1.21384,0.00415,0,0.000487315,0.000487315,0.000487315
39,4041.66,1.05291,1.59156,1.04843,0.00295,0.92362,0.34397,0.40051,0.41487,0.26507,0.33095,0.3743,0.39429,0.23026,1.07162,1.91521,1.2155,0.00421,0,0.000479702,0.000479702,0.000479702
40,4144.92,1.0722,1.63341,1.04917,0.00297,0.92337,0.72203,0.37164,0.44869,0.28107,0.70933,0.36515,0.43273,0.25076,1.04568,1.89734,1.17326,0.00408,0,0.000472089,0.000472089,0.000472089
41,4251.18,1.02095,1.56115,0.99599,0.00288,0.85897,0.52472,0.41921,0.42092,0.25885,0.571,0.39989,0.39816,0.23133,1.09304,1.96791,1.23082,0.00433,0,0.000464476,0.000464476,0.000464476
42,4355.49,1.03842,1.56559,1.01095,0.00287,0.87757,0.6495,0.37852,0.45102,0.27417,0.65016,0.3759,0.44153,0.25479,1.04865,1.90504,1.18731,0.00412,0,0.000456863,0.000456863,0.000456863
43,4457.38,1.0465,1.58236,1.00952,0.00295,0.8743,0.48972,0.43956,0.40237,0.25912,0.46552,0.4274,0.38668,0.22843,1.0562,1.90893,1.2623,0.00418,0,0.00044925,0.00044925,0.00044925
44,4564.19,1.01528,1.51169,1.01325,0.00284,0.85151,0.63798,0.41047,0.45064,0.27746,0.6495,0.40787,0.43722,0.25147,1.065,1.94019,1.17409,0.0042,0,0.000441637,0.000441637,0.000441637
45,4668.38,1.02724,1.5317,0.96706,0.00283,0.84091,0.3664,0.38124,0.39585,0.26088,0.3881,0.3871,0.38884,0.23242,1.07925,1.90425,1.21232,0.00429,0,0.000434024,0.000434024,0.000434024
46,4772.77,1.04143,1.52899,0.98469,0.00291,0.88069,0.63463,0.36887,0.38876,0.24877,0.6381,0.3642,0.36998,0.22336,1.07188,1.89576,1.27252,0.00425,0,0.000426411,0.000426411,0.000426411
47,4877.71,1.03539,1.53695,0.95126,0.00301,0.82218,0.58037,0.41637,0.42229,0.27202,0.59107,0.40746,0.39728,0.23622,1.0791,1.8685,1.17741,0.00427,0,0.000418797,0.000418797,0.000418797
48,4981.96,1.03354,1.55747,0.96315,0.00284,0.83757,0.49725,0.41223,0.40266,0.25661,0.47613,0.39068,0.37783,0.22566,1.08341,1.86265,1.23794,0.00425,0,0.000411184,0.000411184,0.000411184
49,5085.42,1.02687,1.54815,0.94768,0.00295,0.83282,0.63771,0.35698,0.40773,0.26197,0.49227,0.39132,0.39633,0.23185,1.07915,1.90583,1.19563,0.00427,0,0.000403571,0.000403571,0.000403571
50,5185.89,1.02376,1.51649,0.94392,0.00285,0.81172,0.49118,0.42665,0.40837,0.26649,0.47567,0.39875,0.39424,0.23529,1.05614,1.85296,1.23104,0.00418,0,0.000395958,0.000395958,0.000395958
51,5291.08,1.04169,1.54564,0.96488,0.00288,0.79846,0.71382,0.3503,0.40884,0.26343,0.71641,0.34348,0.38556,0.22118,1.06024,1.97574,1.24534,0.00413,0,0.000388345,0.000388345,0.000388345
52,5393.84,1.02866,1.54308,0.94494,0.00288,0.85208,0.52069,0.39928,0.42092,0.27117,0.51889,0.37687,0.38863,0.23373,1.06303,1.95001,1.22176,0.00419,0,0.000380732,0.000380732,0.000380732
53,5495.73,0.98677,1.4854,0.92585,0.00284,0.80915,0.65341,0.37852,0.40814,0.26169,0.61468,0.38087,0.39093,0.22684,1.06082,1.89181,1.22154,0.00413,0,0.000373119,0.000373119,0.000373119
