epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,130.508,1.20975,2.41706,3.13835,0.00371,6.16355,0.72974,0.11594,0.13923,0.08871,0.72904,0.11459,0.12874,0.07709,1.24889,2.49251,2.64914,0.00517,0,0.000253047,0.000253047,0.000253047
2,214.332,1.2394,2.16488,1.93893,0.00377,3.48895,0.55132,0.18867,0.18662,0.11939,0.55086,0.18356,0.18051,0.10733,1.27812,2.28003,1.89722,0.00535,0,0.000504337,0.000504337,0.000504337
3,304.593,1.2696,2.1279,1.74487,0.00371,2.67348,0.64959,0.23336,0.22589,0.13982,0.69913,0.16629,0.2092,0.1247,1.24384,2.31045,2.0511,0.005,0,0.000750553,0.000750553,0.000750553
4,399.198,1.2437,2.0858,1.60234,0.00368,1.71856,0.74204,0.25056,0.27479,0.16237,0.73505,0.24736,0.26567,0.14542,1.19183,2.18742,1.6063,0.00494,0,0.000746161,0.000746161,0.000746161
5,493.277,1.21369,2.01967,1.53206,0.00351,1.46931,0.70411,0.25661,0.2906,0.18688,0.62253,0.28881,0.28087,0.16786,1.15848,2.13243,1.60078,0.00458,0,0.000738548,0.000738548,0.000738548
6,586.046,1.17582,1.96253,1.49797,0.00348,1.26327,0.46832,0.35034,0.29357,0.18156,0.46907,0.33303,0.28519,0.17067,1.15833,2.08424,1.64288,0.00468,0,0.000730935,0.000730935,0.000730935
7,677.424,1.19261,1.92792,1.45284,0.00357,1.2086,0.57549,0.29222,0.27477,0.16607,0.56068,0.28297,0.26971,0.15205,1.16118,2.05247,1.5073,0.00464,0,0.000723321,0.000723321,0.000723321
8,768.565,1.20494,1.96957,1.43859,0.00361,1.22273,0.66532,0.28873,0.31657,0.20325,0.65654,0.28869,0.31079,0.17732,1.15911,2.03952,1.48611,0.00461,0,0.000715708,0.000715708,0.000715708
9,860.449,1.15847,1.88176,1.36986,0.00342,1.15556,0.37703,0.35966,0.32624,0.20173,0.37697,0.35405,0.30934,0.18767,1.13339,2.03668,1.49027,0.00463,0,0.000708095,0.000708095,0.000708095
10,953.831,1.1714,1.91569,1.35968,0.00329,1.21314,0.58225,0.34532,0.2905,0.18299,0.57195,0.33455,0.27332,0.16168,1.17415,2.08881,1.47548,0.0048,0,0.000700482,0.000700482,0.000700482
11,1044.37,1.20585,1.95453,1.40637,0.00351,1.25212,0.64405,0.31735,0.31312,0.20444,0.62942,0.31433,0.3027,0.18032,1.16409,2.00303,1.47812,0.00468,0,0.000692869,0.000692869,0.000692869
12,1135.96,1.1786,1.8634,1.36865,0.00342,1.1948,0.54737,0.40572,0.3517,0.2195,0.52452,0.39538,0.34083,0.20106,1.1836,2.03527,1.36463,0.00484,0,0.000685256,0.000685256,0.000685256
13,1226.64,1.17016,1.83488,1.34753,0.00332,1.10327,0.70559,0.33351,0.36364,0.24041,0.69958,0.33752,0.36508,0.22054,1.11468,1.90824,1.36007,0.0044,0,0.000677643,0.000677643,0.000677643
14,1317.36,1.12942,1.80324,1.27395,0.00319,1.16214,0.54842,0.37196,0.33853,0.21207,0.65006,0.35029,0.3344,0.18819,1.15547,2.01272,1.39995,0.00458,0,0.00067003,0.00067003,0.00067003
15,1406.79,1.1773,1.8761,1.32789,0.00328,1.1489,0.56489,0.33555,0.31842,0.19918,0.58204,0.32091,0.31909,0.18713,1.15453,1.89548,1.3842,0.00455,0,0.000662417,0.000662417,0.000662417
16,1496.76,1.13243,1.82115,1.28255,0.00328,1.16953,0.51662,0.34129,0.34175,0.21996,0.50976,0.3363,0.33664,0.19799,1.13288,1.90637,1.42929,0.00446,0,0.000654804,0.000654804,0.000654804
17,1584.06,1.13537,1.81756,1.26182,0.00326,1.07858,0.4845,0.34155,0.36862,0.23377,0.47483,0.32846,0.35571,0.20621,1.13836,1.97238,1.38085,0.00452,0,0.00064719,0.00064719,0.00064719
18,1674.06,1.14406,1.85043,1.24771,0.00321,1.12549,0.61461,0.3396,0.33329,0.20312,0.63593,0.3206,0.32495,0.17892,1.16211,1.95989,1.34549,0.00463,0,0.000639577,0.000639577,0.000639577
19,1762.48,1.11501,1.73198,1.22339,0.00315,1.04907,0.54305,0.3488,0.34529,0.21719,0.54438,0.33103,0.3349,0.18736,1.10845,1.92429,1.35375,0.0044,0,0.000631964,0.000631964,0.000631964
20,1854.97,1.11149,1.7595,1.256,0.00319,1.07686,0.64146,0.37955,0.36516,0.23174,0.63755,0.37522,0.36168,0.21494,1.14124,1.9212,1.34119,0.00452,0,0.000624351,0.000624351,0.000624351
21,1947.86,1.12637,1.77437,1.24399,0.00321,1.07558,0.44812,0.37539,0.3468,0.21748,0.60352,0.32709,0.33515,0.19255,1.10921,2.00442,1.38161,0.00449,0,0.000616738,0.000616738,0.000616738
22,2039.84,1.12326,1.71893,1.24824,0.00321,1.03913,0.42461,0.34839,0.34654,0.22447,0.54059,0.33297,0.34426,0.20728,1.10444,1.93589,1.39313,0.00444,0,0.000609125,0.000609125,0.000609125
23,2130.67,1.12747,1.7759,1.22293,0.00316,1.03556,0.52747,0.35766,0.41272,0.24414,0.52592,0.35949,0.40018,0.20477,1.10874,1.88444,1.28508,0.00435,0,0.000601512,0.000601512,0.000601512
24,2221.24,1.09895,1.72067,1.18041,0.00317,1.02166,0.60239,0.38566,0.37714,0.23756,0.5895,0.37206,0.36868,0.20563,1.1367,1.94926,1.3119,0.00446,0,0.000593899,0.000593899,0.000593899
25,2311.73,1.1217,1.76597,1.19123,0.00311,1.02238,0.32227,0.36992,0.36492,0.2346,0.34852,0.36119,0.35797,0.21061,1.08847,1.93934,1.41046,0.00436,0,0.000586286,0.000586286,0.000586286
26,2402.3,1.10083,1.69824,1.16549,0.00311,0.98822,0.59129,0.34563,0.39764,0.24867,0.61103,0.33769,0.37343,0.22219,1.10546,1.90124,1.3307,0.00437,0,0.000578672,0.000578672,0.000578672
27,2495.15,1.09797,1.70046,1.16846,0.00312,1.01928,0.47459,0.4645,0.41505,0.2424,0.47634,0.45634,0.40475,0.21042,1.1134,1.89696,1.32332,0.00437,0,0.000571059,0.000571059,0.000571059
28,2583.52,1.09399,1.68533,1.1308,0.00308,0.97067,0.64636,0.4041,0.40588,0.25373,0.66255,0.40124,0.3941,0.22445,1.12163,1.91566,1.25154,0.00446,0,0.000563446,0.000563446,0.000563446
29,2669.05,1.08006,1.64064,1.12229,0.00302,0.98796,0.66225,0.37227,0.37025,0.2333,0.65125,0.36476,0.35413,0.21036,1.13004,1.89511,1.31753,0.00443,0,0.000555833,0.000555833,0.000555833
