epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,153.735,1.10192,2.36935,3.81883,0.00322,6.19091,0.69308,0.1409,0.13109,0.08983,0.68612,0.13392,0.12412,0.0801,1.10073,2.41466,2.911,0.0045,0,0.000253047,0.000253047,0.000253047
2,264.011,1.12698,2.09898,2.1531,0.00332,3.57369,0.37305,0.24098,0.17112,0.10808,0.37466,0.24277,0.16921,0.09613,1.14273,2.34865,2.22516,0.00458,0,0.000504337,0.000504337,0.000504337
3,375.726,1.18081,2.08052,1.84173,0.00339,2.95072,0.68495,0.20559,0.2551,0.15667,0.63975,0.21674,0.24734,0.13991,1.27151,2.33275,1.83541,0.00545,0,0.000750553,0.000750553,0.000750553
4,484.744,1.14555,2.05346,1.68186,0.00334,2.37552,0.44353,0.33639,0.24666,0.15624,0.46909,0.30116,0.23919,0.13808,1.12661,2.20226,1.79421,0.00458,0,0.000746161,0.000746161,0.000746161
5,596.392,1.11996,1.9959,1.60308,0.00322,1.66176,0.7814,0.23242,0.30709,0.2007,0.77914,0.23122,0.29093,0.1797,1.16702,2.13425,1.70784,0.00471,0,0.000738548,0.000738548,0.000738548
6,710.123,1.10143,1.95858,1.53845,0.00324,1.50424,0.59619,0.32294,0.29116,0.18583,0.58895,0.32367,0.2891,0.17464,1.07475,2.16586,1.77309,0.0043,0,0.000730935,0.000730935,0.000730935
7,821.243,1.1416,1.98652,1.56023,0.00344,1.35891,0.63586,0.29186,0.30042,0.18937,0.61849,0.31184,0.30176,0.17405,1.15151,2.16846,1.55538,0.00462,0,0.000723321,0.000723321,0.000723321
8,932.476,1.10688,1.95504,1.51731,0.0033,1.27209,0.59909,0.31554,0.2846,0.1808,0.57748,0.30742,0.27714,0.15934,1.10529,2.13174,1.57909,0.00452,0,0.000715708,0.000715708,0.000715708
9,1043.59,1.08261,1.88301,1.46797,0.00318,1.20339,0.4931,0.31733,0.29921,0.19072,0.50765,0.30782,0.29495,0.17929,1.08403,2.07561,1.58842,0.00442,0,0.000708095,0.000708095,0.000708095
10,1155.37,1.08331,1.88229,1.41976,0.00302,1.24938,0.58007,0.33574,0.30738,0.19502,0.58193,0.32966,0.30066,0.17666,1.07784,2.11247,1.55021,0.00432,0,0.000700482,0.000700482,0.000700482
