epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,215.097,1.09512,2.29005,3.28029,0.00324,4.45341,0.41433,0.21063,0.18489,0.1172,0.41158,0.20854,0.17543,0.09736,1.02571,2.13464,2.05514,0.00431,0,0.00025468,0.00025468,0.00025468
2,410.395,1.16232,2.07055,1.95853,0.0035,3.03309,0.48445,0.31743,0.2199,0.13665,0.55455,0.25074,0.21897,0.12473,1.0123,2.03784,1.84544,0.00416,0,0.000505954,0.000505954,0.000505954
3,605.644,1.2119,2.09943,1.80036,0.00359,1.90517,0.41976,0.31756,0.22291,0.13659,0.4301,0.21215,0.20057,0.12129,1.13652,2.15587,1.67492,0.00466,0,0.000752153,0.000752153,0.000752153
4,799.563,1.15983,2.05853,1.69549,0.00351,1.49821,0.44425,0.26416,0.2509,0.15771,0.59728,0.24265,0.24589,0.14128,1.01893,2.03092,1.53035,0.00413,0,0.000746161,0.000746161,0.000746161
5,994.345,1.15085,1.97999,1.60319,0.00339,1.28656,0.5773,0.25115,0.22077,0.13494,0.58506,0.25476,0.22037,0.12314,1.0944,2.1407,1.56433,0.00461,0,0.000738548,0.000738548,0.000738548
6,1187.94,1.12045,1.97207,1.52951,0.0034,1.28508,0.55567,0.31855,0.24034,0.14461,0.55889,0.3081,0.23803,0.13273,1.04644,1.96165,1.56249,0.00437,0,0.000730935,0.000730935,0.000730935
7,1381.61,1.13124,1.90153,1.49271,0.00348,1.24656,0.80867,0.22314,0.3088,0.19501,0.80334,0.2213,0.29776,0.17443,1.01197,1.8736,1.38781,0.00408,0,0.000723321,0.000723321,0.000723321
8,1575.59,1.1193,1.9176,1.45485,0.00341,1.25891,0.81248,0.24176,0.28863,0.18936,0.7939,0.23913,0.28081,0.16676,1.05252,2.03061,1.48731,0.00422,0,0.000715708,0.000715708,0.000715708
9,1769.56,1.12802,1.88909,1.44527,0.00338,1.22737,0.45509,0.3084,0.33119,0.20607,0.44853,0.3029,0.3241,0.18316,0.96402,1.92467,1.42524,0.00389,0,0.000708095,0.000708095,0.000708095
10,1963.96,1.10162,1.86699,1.39028,0.0032,1.24127,0.61492,0.31996,0.31564,0.19721,0.58321,0.31327,0.31272,0.18167,0.98971,1.81161,1.35548,0.00398,0,0.000700482,0.000700482,0.000700482
11,2158.16,1.12933,1.89366,1.4003,0.00326,1.25944,0.50058,0.32452,0.33289,0.21723,0.65528,0.2976,0.32708,0.1947,1.00241,1.87973,1.34577,0.00406,0,0.000692869,0.000692869,0.000692869
12,2352.19,1.08344,1.81734,1.39261,0.00319,1.27382,0.51764,0.35759,0.33734,0.21772,0.50449,0.35184,0.32595,0.19008,0.96931,1.84511,1.26077,0.00385,0,0.000685256,0.000685256,0.000685256
13,2545.72,1.08812,1.80526,1.35731,0.00316,1.19848,0.6469,0.32951,0.33991,0.22146,0.68002,0.29872,0.33435,0.20137,0.99656,1.84321,1.29579,0.00402,0,0.000677643,0.000677643,0.000677643
14,2739.95,1.03758,1.74494,1.27952,0.00294,1.19747,0.48555,0.34498,0.34575,0.21218,0.36213,0.34179,0.33001,0.18659,1.0245,1.92191,1.3449,0.00415,0,0.00067003,0.00067003,0.00067003
