epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,140.39,1.22716,2.40711,2.77246,0.00377,4.30618,0.34046,0.36981,0.30443,0.21315,0.32271,0.35759,0.29016,0.17788,1.26129,2.57142,2.03664,0.00507,0,0.000411325,0.000411325,0.000411325
2,235.305,1.28938,2.264,1.78301,0.00401,2.65063,0.32985,0.39343,0.3182,0.19784,0.27091,0.34687,0.28402,0.17244,1.3835,nan,nan,0.00579,0,0.000819794,0.000819794,0.000819794
3,336.572,1.37478,2.3234,1.76188,0.00417,2.2493,0.39594,0.41129,0.37051,0.23191,0.42094,0.38855,0.35482,0.20666,1.37498,2.43093,1.85785,0.00573,0,0.00122001,0.00122001,0.00122001
4,434.176,1.36593,2.24895,1.65904,0.00421,2.02957,0.31233,0.4105,0.34459,0.23445,0.30399,0.39599,0.33464,0.2036,1.25982,2.37422,1.76781,0.00522,0,0.00121287,0.00121287,0.00121287
5,534.68,1.33067,2.16827,1.56064,0.00403,2.04095,0.40121,0.35629,0.33857,0.23452,0.38873,0.35032,0.32446,0.20746,1.28932,2.34957,1.90055,0.00525,0,0.0012005,0.0012005,0.0012005
6,636.845,1.2684,2.13252,1.56934,0.00388,2.02154,0.50926,0.4611,0.40266,0.27642,0.51266,0.46133,0.39511,0.24605,1.26029,2.25933,1.74795,0.00526,0,0.00118812,0.00118812,0.00118812
7,738.384,1.26785,2.08442,1.54703,0.00394,2.01365,0.52505,0.41036,0.425,0.26936,0.51796,0.39988,0.41339,0.2491,1.28273,2.13065,1.59294,0.00533,0,0.00117575,0.00117575,0.00117575
8,839.683,1.27473,2.13381,1.52682,0.00394,2.01317,0.46504,0.4023,0.39409,0.26477,0.47294,0.40304,0.38862,0.2368,1.23519,2.18208,1.62418,0.00501,0,0.00116337,0.00116337,0.00116337
9,939.222,1.24205,2.04091,1.46503,0.00381,1.93505,0.49533,0.50685,0.47584,0.33657,0.49542,0.50379,0.47531,0.29836,1.22835,2.22683,1.51387,0.005,0,0.001151,0.001151,0.001151
10,1037.48,1.24861,2.05921,1.43917,0.00365,1.9307,0.38902,0.42768,0.4006,0.27269,0.39384,0.42242,0.38835,0.25051,1.28892,2.16246,1.72547,0.00536,0,0.00113863,0.00113863,0.00113863
