epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,154.63,1.12304,2.31024,3.03519,0.00329,4.61217,0.28718,0.21991,0.23455,0.16694,0.28404,0.21526,0.22377,0.14805,1.22167,2.5311,2.56664,0.00494,0,0.000411325,0.000411325,0.000411325
2,258.738,1.18992,2.1705,1.89907,0.00359,2.96103,0.24847,0.28146,0.22214,0.17018,0.23681,0.28524,0.221,0.15189,1.34738,2.67819,2.36644,0.00561,0,0.000819794,0.000819794,0.000819794
3,371.681,1.24161,2.19556,1.80118,0.00368,2.31938,0.42725,0.37117,0.36863,0.25412,0.41913,0.36752,0.35632,0.22479,1.19808,2.48494,1.85035,0.00498,0,0.00122001,0.00122001,0.00122001
4,485.85,1.23362,2.196,1.74658,0.00372,2.0784,0.38531,0.32659,0.32283,0.21314,0.38763,0.32681,0.31712,0.19626,1.34275,2.60134,1.92671,0.00559,0,0.00121287,0.00121287,0.00121287
5,598.355,1.21806,2.11157,1.64903,0.00364,2.06029,0.30144,0.36687,0.296,0.20698,0.30708,0.36969,0.30067,0.19213,1.25737,2.4781,2.36921,0.00521,0,0.0012005,0.0012005,0.0012005
6,711.919,1.18912,2.08541,1.63489,0.0036,2.06671,0.58452,0.34576,0.37983,0.26225,0.5778,0.34232,0.37584,0.24702,1.17875,2.22079,1.74709,0.00491,0,0.00118812,0.00118812,0.00118812
7,821.918,1.18522,2.07344,1.65164,0.00362,2.06754,0.40052,0.39185,0.35066,0.24378,0.4008,0.39241,0.35085,0.22909,1.21321,2.19123,1.6872,0.00496,0,0.00117575,0.00117575,0.00117575
8,925.06,1.19505,2.1248,1.6224,0.00368,2.13241,0.41075,0.40893,0.35846,0.24372,0.40771,0.40947,0.35594,0.22812,1.2211,2.30685,1.76757,0.00507,0,0.00116337,0.00116337,0.00116337
9,1030.59,1.16027,2.04373,1.55827,0.00351,1.9696,0.61114,0.33961,0.39133,0.2749,0.61953,0.3413,0.38967,0.25169,1.14849,2.15432,1.69258,0.00471,0,0.001151,0.001151,0.001151
10,1133.33,1.14928,2.02368,1.53417,0.00329,1.98918,0.37106,0.46076,0.41165,0.28606,0.3663,0.45591,0.40774,0.25767,1.1201,2.24375,1.71392,0.00466,0,0.00113863,0.00113863,0.00113863
